2024-04-30 09:03:06.342795 - STARTING PROCESS
2024-04-30 09:03:06.344250 - Choosen model: /Prove/Cerro/models/stable-diffusion-2-inpainting
2024-04-30 09:03:06.345102 - Input Path: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset
2024-04-30 09:03:06.345970 - Output Path: /Prove/Cerro/Out_SIZE_v2
2024-04-30 09:03:06.346819 - Choosen Hardware: cuda
2024-04-30 09:03:10.562293 - ImageManager.__init__ - DEBUG - Input Path: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset - Output Path: /Prove/Cerro/Out_SIZE_v2
2024-04-30 09:03:10.565863 - ImageManager.build_list - ERROR - [Errno 2] No such file or directory: 'images_list.txt'
2024-04-30 09:03:10.712952 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V004.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V004.mp4'
2024-04-30 09:03:10.717483 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V005.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V005.mp4'
2024-04-30 09:03:11.156167 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V002.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V002.mp4'
2024-04-30 09:03:11.262480 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V003.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V003.mp4'
2024-04-30 09:03:11.370471 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V006.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V006.mp4'
2024-04-30 09:03:11.800263 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V001.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Flat/jpeg-h264/D39_V001.mp4'
2024-04-30 09:03:12.747785 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S2/D39_L4S2C4.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S2/D39_L4S2C4.mp4'
2024-04-30 09:03:12.966392 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S5/D39_L4S5C4.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S5/D39_L4S5C4.mp4'
2024-04-30 09:03:13.021336 - ImageManager.is_image - ERROR - Corrupted: /images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S3/D39_L4S3C4.mp4 - cannot identify image file '/images/images/forensic_datasets/Container_Datasets/FloreView/Dataset/D39_Motorola_MotoG5/Nat/jpeg-h264/L4/S3/D39_L4S3C4.mp4'
